sale_ref,customer_id,customer_name,region,sale_date,item,quantity,unit_price,line_total,status,outcome
SO-004506,420,Northwind Foods Ltd,North America,2026-06-06,Safety cage,12,546.77,6561.24,completed,completed
SO-003944,194,Alderway Chemicals SA,UK & Ireland,2026-06-06,Strapping machine,25,811.60,20290.00,completed,completed
SO-003921,158,Thistledown Ceramics SA,APAC,2026-06-06,Conveyor belt,2,495.21,990.42,completed,completed
SO-004155,463,Blue Ridge Textiles GmbH,APAC,2026-06-06,Handheld terminal,11,813.22,8945.42,completed,completed
SO-004220,1,Harbourline Logistics Ltd,EMEA,2026-06-06,Shrink wrapper,1,881.93,881.93,completed,completed
SO-004094,80,Northwind Medical GmbH,North America,2026-06-07,Shrink wrapper,25,927.01,23175.25,pending,at_risk
SO-004114,260,Northwind Textiles SA,North America,2026-06-07,Safety cage,20,955.09,19101.80,cancelled,at_risk
SO-004490,72,Pinehurst Textiles Ltd,LATAM,2026-06-07,Strapping machine,21,486.13,10208.73,pending,at_risk
SO-004112,2,Cedarcrest Logistics Ltd,LATAM,2026-06-07,Strapping machine,18,313.79,5648.22,completed,completed
SO-004461,414,Alderway Logistics BV,UK & Ireland,2026-06-07,Tote bin,17,262.51,4462.67,completed,completed
SO-004011,36,Marlowe Foods Ltd,EMEA,2026-06-07,Weighing station,17,828.36,14082.12,cancelled,at_risk
SO-004201,110,Foxglove Robotics Ltd,North America,2026-06-07,Conveyor belt,7,558.37,3908.59,completed,completed
SO-004485,90,Foxglove Medical SA,North America,2026-06-07,Forklift battery,16,112.70,1803.20,completed,completed
SO-004091,1,Harbourline Logistics Ltd,EMEA,2026-06-07,Barcode scanner,22,708.72,15591.84,pending,at_risk
SO-004274,21,Harbourline Foods Inc,EMEA,2026-06-07,Cold-chain container,5,371.12,1855.60,cancelled,at_risk
SO-004392,385,Summit Chemicals Ltd,North America,2026-06-07,Strapping machine,23,395.92,9106.16,completed,completed
SO-004246,4,Ironvale Logistics Ltd,UK & Ireland,2026-06-07,Cold-chain container,2,867.34,1734.68,completed,completed
SO-003976,6,Lakeshore Logistics Ltd,EMEA,2026-06-07,Pallet rack,7,132.47,927.29,completed,completed
SO-004471,202,Cedarcrest Logistics Inc,LATAM,2026-06-07,Forklift battery,2,785.71,1571.42,completed,completed
SO-004401,158,Thistledown Ceramics SA,APAC,2026-06-07,Forklift battery,7,929.00,6503.00,completed,completed
SO-003923,451,Sablewood Analytics BV,EMEA,2026-06-07,Barcode scanner,4,427.46,1709.84,completed,completed
SO-004443,1,Harbourline Logistics Ltd,EMEA,2026-06-07,Forklift battery,24,430.67,10336.08,cancelled,at_risk
SO-003972,1,Harbourline Logistics Ltd,EMEA,2026-06-07,Strapping machine,3,624.76,1874.28,completed,completed
SO-004242,2,Cedarcrest Logistics Ltd,LATAM,2026-06-07,Pallet rack,23,115.30,2651.90,completed,completed
SO-004501,19,Windermere Logistics SA,UK & Ireland,2026-06-07,Weighing station,7,936.40,6554.80,completed,completed
SO-004377,59,Windermere Analytics Inc,UK & Ireland,2026-06-08,Tote bin,8,500.89,4007.12,completed,completed
SO-004014,63,Blue Ridge Textiles BV,APAC,2026-06-08,Strapping machine,20,345.25,6905.00,completed,completed
SO-004438,8,Granite Logistics GmbH,APAC,2026-06-08,Pallet rack,19,279.33,5307.27,completed,completed
SO-004233,1,Harbourline Logistics Ltd,EMEA,2026-06-08,Forklift battery,14,532.75,7458.50,completed,completed
SO-003968,22,Cedarcrest Foods Inc,LATAM,2026-06-08,Shrink wrapper,24,182.02,4368.48,cancelled,at_risk
SO-004036,57,Ravensgate Analytics Inc,LATAM,2026-06-08,Cold-chain container,17,826.70,14053.90,completed,completed
SO-004358,58,Thistledown Analytics Inc,APAC,2026-06-08,Cold-chain container,14,799.03,11186.42,cancelled,at_risk
SO-004475,25,Summit Foods Inc,North America,2026-06-08,Tote bin,6,573.78,3442.68,completed,completed
SO-004061,54,Alderway Analytics SA,UK & Ireland,2026-06-08,Conveyor belt,17,445.93,7580.81,completed,completed
SO-004370,2,Cedarcrest Logistics Ltd,LATAM,2026-06-08,Label printer,1,572.90,572.90,completed,completed
SO-004405,2,Cedarcrest Logistics Ltd,LATAM,2026-06-08,Tote bin,11,268.22,2950.42,pending,at_risk
SO-004064,358,Thistledown Ceramics GmbH,APAC,2026-06-08,Cold-chain container,20,608.39,12167.80,pending,at_risk
SO-004338,417,Ravensgate Logistics BV,LATAM,2026-06-08,Safety cage,19,823.28,15642.32,pending,at_risk
SO-004060,46,Lakeshore Analytics GmbH,EMEA,2026-06-08,Pallet rack,16,743.88,11902.08,pending,at_risk
SO-004041,193,Silverbrook Chemicals SA,APAC,2026-06-08,Tote bin,22,587.51,12925.22,completed,completed
SO-004409,1,Harbourline Logistics Ltd,EMEA,2026-06-08,Sorting arm,15,646.48,9697.20,completed,completed
SO-004236,319,Windermere Robotics Ltd,UK & Ireland,2026-06-09,Dock leveller,17,582.52,9902.84,cancelled,at_risk
SO-004067,3,Blue Ridge Logistics Ltd,APAC,2026-06-09,Weighing station,23,124.29,2858.67,completed,completed
SO-004520,326,Lakeshore Freight GmbH,EMEA,2026-06-09,Safety cage,1,332.25,332.25,completed,completed
SO-004452,1,Harbourline Logistics Ltd,EMEA,2026-06-09,Pallet rack,8,196.01,1568.08,completed,completed
SO-003947,30,Foxglove Foods BV,North America,2026-06-09,Sorting arm,3,43.09,129.27,completed,completed
SO-004314,466,Lakeshore Textiles GmbH,EMEA,2026-06-09,Label printer,20,760.71,15214.20,pending,at_risk
SO-003967,1,Harbourline Logistics Ltd,EMEA,2026-06-09,Forklift battery,23,832.23,19141.29,completed,completed
SO-004226,325,Summit Freight GmbH,North America,2026-06-09,Safety cage,7,630.16,4411.12,completed,completed
SO-004022,2,Cedarcrest Logistics Ltd,LATAM,2026-06-09,Cold-chain container,3,165.96,497.88,completed,completed
SO-004119,25,Summit Foods Inc,North America,2026-06-09,Barcode scanner,25,742.82,18570.50,pending,at_risk
SO-004172,9,Meridian Logistics GmbH,UK & Ireland,2026-06-09,Pallet rack,3,914.19,2742.57,cancelled,at_risk
SO-004216,14,Alderway Logistics SA,UK & Ireland,2026-06-09,Label printer,22,553.83,12184.26,completed,completed
SO-004298,3,Blue Ridge Logistics Ltd,APAC,2026-06-09,Pallet rack,4,560.63,2242.52,completed,completed
SO-003962,24,Ironvale Foods Inc,UK & Ireland,2026-06-09,Pallet rack,18,401.02,7218.36,completed,completed
SO-003939,165,Summit Instruments Inc,North America,2026-06-09,Forklift battery,20,575.42,11508.40,completed,completed
SO-004214,57,Ravensgate Analytics Inc,LATAM,2026-06-09,Pallet rack,20,66.06,1321.20,pending,at_risk
SO-004454,101,Harbourline Robotics BV,EMEA,2026-06-09,Label printer,10,205.64,2056.40,completed,completed
SO-004491,116,Marlowe Robotics GmbH,EMEA,2026-06-09,Handheld terminal,22,920.07,20241.54,cancelled,at_risk
SO-004366,3,Blue Ridge Logistics Ltd,APAC,2026-06-09,Safety cage,22,437.22,9618.84,pending,at_risk
SO-004073,2,Cedarcrest Logistics Ltd,LATAM,2026-06-09,Sorting arm,4,196.73,786.92,completed,completed
SO-004159,106,Lakeshore Robotics Ltd,EMEA,2026-06-10,Conveyor belt,15,877.58,13163.70,completed,completed
SO-003998,343,Blue Ridge Ceramics BV,APAC,2026-06-10,Dock leveller,4,603.60,2414.40,completed,completed
SO-004394,11,Sablewood Logistics GmbH,EMEA,2026-06-10,Safety cage,25,184.16,4604.00,completed,completed
SO-003951,184,Ironvale Chemicals GmbH,UK & Ireland,2026-06-10,Barcode scanner,7,814.82,5703.74,completed,completed
SO-004505,105,Summit Robotics Ltd,North America,2026-06-10,Handheld terminal,11,67.82,746.02,completed,completed
SO-004185,491,Sablewood Medical Ltd,EMEA,2026-06-10,Sorting arm,16,196.43,3142.88,completed,completed
SO-004023,231,Sablewood Foods Inc,EMEA,2026-06-10,Forklift battery,4,524.86,2099.44,completed,completed
SO-004284,1,Harbourline Logistics Ltd,EMEA,2026-06-10,Pallet rack,15,657.20,9858.00,cancelled,at_risk
SO-004299,82,Cedarcrest Medical GmbH,LATAM,2026-06-10,Conveyor belt,5,563.63,2818.15,completed,completed
SO-004404,261,Harbourline Textiles SA,EMEA,2026-06-10,Dock leveller,10,188.12,1881.20,completed,completed
SO-004416,29,Meridian Foods BV,UK & Ireland,2026-06-10,Shrink wrapper,22,605.71,13325.62,completed,completed
SO-004511,64,Ironvale Textiles BV,UK & Ireland,2026-06-10,Barcode scanner,17,305.09,5186.53,completed,completed
SO-004190,61,Harbourline Textiles Inc,EMEA,2026-06-10,Cold-chain container,21,897.36,18844.56,completed,completed
SO-004487,38,Thistledown Foods Ltd,APAC,2026-06-10,Weighing station,18,467.19,8409.42,completed,completed
SO-004383,351,Sablewood Ceramics Ltd,EMEA,2026-06-10,Conveyor belt,14,718.80,10063.20,completed,completed
SO-003960,175,Copperfield Instruments Ltd,North America,2026-06-10,Safety cage,16,289.93,4638.88,completed,completed
SO-004256,2,Cedarcrest Logistics Ltd,LATAM,2026-06-10,Pallet rack,12,148.66,1783.92,completed,completed
SO-003974,73,Silverbrook Textiles Ltd,APAC,2026-06-10,Safety cage,5,127.71,638.55,completed,completed
SO-004018,463,Blue Ridge Textiles GmbH,APAC,2026-06-10,Pallet rack,24,99.78,2394.72,completed,completed
SO-004004,20,Northwind Foods SA,North America,2026-06-10,Pallet rack,10,695.67,6956.70,completed,completed
SO-004329,25,Summit Foods Inc,North America,2026-06-10,Barcode scanner,10,455.87,4558.70,pending,at_risk
SO-004387,438,Thistledown Foods SA,APAC,2026-06-10,Forklift battery,18,564.60,10162.80,completed,completed
SO-004460,342,Cedarcrest Ceramics Inc,LATAM,2026-06-10,Dock leveller,16,120.83,1933.28,cancelled,at_risk
SO-004313,1,Harbourline Logistics Ltd,EMEA,2026-06-10,Conveyor belt,19,787.81,14968.39,completed,completed
SO-004231,106,Lakeshore Robotics Ltd,EMEA,2026-06-10,Barcode scanner,12,748.62,8983.44,pending,at_risk
SO-004292,16,Marlowe Logistics SA,EMEA,2026-06-10,Dock leveller,23,520.43,11969.89,cancelled,at_risk
SO-004348,163,Blue Ridge Instruments Inc,APAC,2026-06-11,Dock leveller,4,738.11,2952.44,completed,completed
SO-003983,66,Lakeshore Textiles BV,EMEA,2026-06-11,Weighing station,14,557.20,7800.80,completed,completed
SO-004079,35,Copperfield Foods Ltd,North America,2026-06-11,Forklift battery,10,657.13,6571.30,pending,at_risk
SO-004180,70,Foxglove Textiles Ltd,North America,2026-06-11,Dock leveller,11,535.13,5886.43,completed,completed
SO-004523,224,Ironvale Foods SA,UK & Ireland,2026-06-11,Conveyor belt,4,74.29,297.16,completed,completed
SO-004290,17,Ravensgate Logistics SA,LATAM,2026-06-11,Shrink wrapper,21,702.62,14755.02,pending,at_risk
SO-004174,47,Kestrel Analytics GmbH,LATAM,2026-06-11,Label printer,5,517.69,2588.45,completed,completed
SO-003933,309,Meridian Robotics BV,UK & Ireland,2026-06-11,Sorting arm,14,164.09,2297.26,completed,completed
SO-004244,54,Alderway Analytics SA,UK & Ireland,2026-06-11,Label printer,25,606.75,15168.75,pending,at_risk
SO-004483,189,Meridian Chemicals SA,UK & Ireland,2026-06-11,Barcode scanner,14,223.63,3130.82,completed,completed
SO-004507,350,Foxglove Ceramics Ltd,North America,2026-06-11,Sorting arm,13,324.63,4220.19,cancelled,at_risk
SO-004156,3,Blue Ridge Logistics Ltd,APAC,2026-06-11,Safety cage,12,111.22,1334.64,pending,at_risk
SO-004457,451,Sablewood Analytics BV,EMEA,2026-06-11,Forklift battery,13,448.22,5826.86,completed,completed
SO-004218,105,Summit Robotics Ltd,North America,2026-06-11,Cold-chain container,24,229.88,5517.12,completed,completed
SO-004528,275,Copperfield Textiles BV,North America,2026-06-11,Shrink wrapper,9,800.46,7204.14,completed,completed
SO-004339,55,Copperfield Analytics SA,North America,2026-06-11,Sorting arm,20,546.72,10934.40,cancelled,at_risk
SO-004276,32,Pinehurst Foods BV,LATAM,2026-06-11,Shrink wrapper,7,309.68,2167.76,completed,completed
SO-004346,1,Harbourline Logistics Ltd,EMEA,2026-06-11,Shrink wrapper,2,899.58,1799.16,completed,completed
SO-003979,133,Silverbrook Freight BV,APAC,2026-06-11,Barcode scanner,10,783.98,7839.80,completed,completed
SO-004407,59,Windermere Analytics Inc,UK & Ireland,2026-06-11,Handheld terminal,13,773.56,10056.28,completed,completed
SO-004433,1,Harbourline Logistics Ltd,EMEA,2026-06-11,Tote bin,14,481.32,6738.48,completed,completed
SO-004525,1,Harbourline Logistics Ltd,EMEA,2026-06-11,Barcode scanner,6,618.98,3713.88,completed,completed
SO-004448,7,Kestrel Logistics GmbH,LATAM,2026-06-11,Strapping machine,4,657.03,2628.12,completed,completed
SO-004446,90,Foxglove Medical SA,North America,2026-06-11,Dock leveller,2,138.04,276.08,completed,completed
SO-004359,316,Marlowe Robotics Ltd,EMEA,2026-06-11,Forklift battery,15,24.42,366.30,completed,completed
SO-004482,439,Windermere Foods SA,UK & Ireland,2026-06-11,Label printer,13,854.99,11114.87,pending,at_risk
SO-004510,480,Northwind Medical Inc,North America,2026-06-11,Label printer,16,715.29,11444.64,completed,completed
SO-004368,247,Kestrel Analytics Ltd,LATAM,2026-06-11,Pallet rack,24,78.07,1873.68,completed,completed
SO-004015,5,Summit Logistics Ltd,North America,2026-06-11,Handheld terminal,21,55.33,1161.93,completed,completed
SO-004164,9,Meridian Logistics GmbH,UK & Ireland,2026-06-11,Shrink wrapper,20,399.59,7991.80,cancelled,at_risk
SO-004260,219,Windermere Logistics GmbH,UK & Ireland,2026-06-11,Cold-chain container,16,789.50,12632.00,completed,completed
SO-004393,2,Cedarcrest Logistics Ltd,LATAM,2026-06-11,Handheld terminal,24,647.52,15540.48,pending,at_risk
SO-004227,144,Ironvale Ceramics Ltd,UK & Ireland,2026-06-11,Sorting arm,8,942.20,7537.60,pending,at_risk
SO-004426,140,Northwind Ceramics Ltd,North America,2026-06-12,Label printer,7,715.87,5011.09,pending,at_risk
SO-004142,93,Silverbrook Medical Inc,APAC,2026-06-12,Safety cage,23,422.18,9710.14,completed,completed
SO-004054,52,Pinehurst Analytics SA,LATAM,2026-06-12,Dock leveller,10,601.02,6010.20,completed,completed
SO-004005,89,Meridian Medical SA,UK & Ireland,2026-06-12,Conveyor belt,11,315.67,3472.37,completed,completed
SO-004251,60,Northwind Textiles Inc,North America,2026-06-12,Tote bin,7,799.05,5593.35,completed,completed
SO-004070,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Strapping machine,1,799.19,799.19,completed,completed
SO-003922,6,Lakeshore Logistics Ltd,EMEA,2026-06-12,Label printer,3,809.67,2429.01,completed,completed
SO-004266,114,Alderway Robotics GmbH,UK & Ireland,2026-06-12,Strapping machine,22,352.93,7764.46,completed,completed
SO-004044,359,Windermere Ceramics GmbH,UK & Ireland,2026-06-12,Safety cage,25,25.63,640.75,completed,completed
SO-004363,34,Alderway Foods BV,UK & Ireland,2026-06-12,Tote bin,19,868.87,16508.53,completed,completed
SO-004434,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Strapping machine,15,579.41,8691.15,completed,completed
SO-004458,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Shrink wrapper,14,92.89,1300.46,completed,completed
SO-004332,18,Thistledown Logistics SA,APAC,2026-06-12,Shrink wrapper,13,268.91,3495.83,completed,completed
SO-004372,7,Kestrel Logistics GmbH,LATAM,2026-06-12,Cold-chain container,3,295.63,886.89,completed,completed
SO-004153,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Tote bin,9,206.94,1862.46,completed,completed
SO-003999,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Tote bin,5,329.80,1649.00,completed,completed
SO-004502,342,Cedarcrest Ceramics Inc,LATAM,2026-06-12,Dock leveller,8,766.03,6128.24,completed,completed
SO-004516,253,Silverbrook Analytics GmbH,APAC,2026-06-12,Dock leveller,22,309.54,6809.88,completed,completed
SO-003955,22,Cedarcrest Foods Inc,LATAM,2026-06-12,Weighing station,11,801.22,8813.42,pending,at_risk
SO-004132,22,Cedarcrest Foods Inc,LATAM,2026-06-12,Label printer,13,838.28,10897.64,completed,completed
SO-004271,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Conveyor belt,2,686.47,1372.94,completed,completed
SO-004499,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Forklift battery,5,949.76,4748.80,completed,completed
SO-004158,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Pallet rack,14,878.83,12303.62,completed,completed
SO-004152,1,Harbourline Logistics Ltd,EMEA,2026-06-12,Dock leveller,8,213.84,1710.72,completed,completed
SO-004032,26,Lakeshore Foods Inc,EMEA,2026-06-12,Pallet rack,13,726.63,9446.19,completed,completed
SO-004441,2,Cedarcrest Logistics Ltd,LATAM,2026-06-12,Barcode scanner,22,351.04,7722.88,pending,at_risk
SO-003969,354,Alderway Ceramics Ltd,UK & Ireland,2026-06-13,Weighing station,25,833.88,20847.00,completed,completed
SO-004171,1,Harbourline Logistics Ltd,EMEA,2026-06-13,Sorting arm,2,774.78,1549.56,completed,completed
SO-004028,1,Harbourline Logistics Ltd,EMEA,2026-06-13,Strapping machine,9,822.19,7399.71,completed,completed
SO-003954,236,Marlowe Foods Inc,EMEA,2026-06-13,Shrink wrapper,10,847.11,8471.10,cancelled,at_risk
SO-004481,9,Meridian Logistics GmbH,UK & Ireland,2026-06-13,Conveyor belt,12,143.71,1724.52,completed,completed
SO-003945,437,Ravensgate Foods SA,LATAM,2026-06-13,Handheld terminal,1,518.29,518.29,completed,completed
SO-004360,316,Marlowe Robotics Ltd,EMEA,2026-06-13,Shrink wrapper,16,486.17,7778.72,completed,completed
SO-004312,4,Ironvale Logistics Ltd,UK & Ireland,2026-06-13,Pallet rack,18,533.42,9601.56,pending,at_risk
SO-004043,330,Foxglove Freight SA,North America,2026-06-13,Handheld terminal,24,277.24,6653.76,completed,completed
SO-004225,21,Harbourline Foods Inc,EMEA,2026-06-13,Handheld terminal,6,591.85,3551.10,completed,completed
SO-004207,193,Silverbrook Chemicals SA,APAC,2026-06-13,Weighing station,13,737.19,9583.47,completed,completed
SO-004087,30,Foxglove Foods BV,North America,2026-06-13,Sorting arm,18,291.31,5243.58,completed,completed
SO-004194,23,Blue Ridge Foods Inc,APAC,2026-06-13,Dock leveller,25,249.34,6233.50,completed,completed
SO-004508,295,Copperfield Medical SA,North America,2026-06-13,Pallet rack,14,245.59,3438.26,completed,completed
SO-004328,11,Sablewood Logistics GmbH,EMEA,2026-06-13,Label printer,9,417.23,3755.07,completed,completed
SO-004296,261,Harbourline Textiles SA,EMEA,2026-06-13,Safety cage,2,681.86,1363.72,completed,completed
SO-004287,1,Harbourline Logistics Ltd,EMEA,2026-06-13,Barcode scanner,18,205.06,3691.08,pending,at_risk
SO-003975,451,Sablewood Analytics BV,EMEA,2026-06-13,Sorting arm,6,370.75,2224.50,pending,at_risk
SO-004224,224,Ironvale Foods SA,UK & Ireland,2026-06-14,Strapping machine,5,699.67,3498.35,completed,completed
SO-004436,2,Cedarcrest Logistics Ltd,LATAM,2026-06-14,Safety cage,17,186.39,3168.63,completed,completed
SO-003928,120,Northwind Freight SA,North America,2026-06-14,Dock leveller,9,237.85,2140.65,completed,completed
SO-004113,1,Harbourline Logistics Ltd,EMEA,2026-06-14,Handheld terminal,19,164.06,3117.14,completed,completed
SO-004128,102,Cedarcrest Robotics BV,LATAM,2026-06-14,Safety cage,9,131.60,1184.40,pending,at_risk
SO-004253,219,Windermere Logistics GmbH,UK & Ireland,2026-06-14,Handheld terminal,9,552.25,4970.25,cancelled,at_risk
SO-004090,29,Meridian Foods BV,UK & Ireland,2026-06-14,Label printer,21,506.40,10634.40,cancelled,at_risk
SO-004001,5,Summit Logistics Ltd,North America,2026-06-14,Handheld terminal,7,617.65,4323.55,completed,completed
SO-004518,250,Foxglove Analytics Ltd,North America,2026-06-14,Strapping machine,24,332.29,7974.96,pending,at_risk
SO-003985,280,Northwind Medical Ltd,North America,2026-06-14,Tote bin,16,947.70,15163.20,pending,at_risk
SO-004415,41,Harbourline Analytics Ltd,EMEA,2026-06-14,Forklift battery,21,139.62,2932.02,completed,completed
SO-004317,318,Thistledown Robotics Ltd,APAC,2026-06-14,Forklift battery,23,54.53,1254.19,completed,completed
SO-004494,49,Meridian Analytics SA,UK & Ireland,2026-06-14,Pallet rack,25,474.97,11874.25,completed,completed
SO-004309,100,Northwind Robotics BV,North America,2026-06-14,Handheld terminal,15,114.34,1715.10,completed,completed
SO-004465,403,Blue Ridge Logistics SA,APAC,2026-06-14,Sorting arm,21,127.95,2686.95,completed,completed
SO-004086,129,Meridian Freight Inc,UK & Ireland,2026-06-14,Safety cage,17,87.03,1479.51,completed,completed
SO-004209,127,Kestrel Freight Inc,LATAM,2026-06-14,Tote bin,15,206.87,3103.05,completed,completed
SO-003982,126,Lakeshore Freight Inc,EMEA,2026-06-14,Shrink wrapper,13,556.34,7232.42,completed,completed
SO-004293,150,Foxglove Ceramics GmbH,North America,2026-06-14,Tote bin,24,609.40,14625.60,pending,at_risk
SO-004300,1,Harbourline Logistics Ltd,EMEA,2026-06-15,Label printer,6,504.66,3027.96,completed,completed
SO-004374,1,Harbourline Logistics Ltd,EMEA,2026-06-15,Shrink wrapper,5,875.05,4375.25,completed,completed
SO-004331,15,Copperfield Logistics SA,North America,2026-06-15,Forklift battery,12,149.61,1795.32,completed,completed
SO-004117,1,Harbourline Logistics Ltd,EMEA,2026-06-15,Conveyor belt,23,851.83,19592.09,cancelled,at_risk
SO-004085,3,Blue Ridge Logistics Ltd,APAC,2026-06-15,Handheld terminal,16,156.06,2496.96,completed,completed
SO-004453,227,Kestrel Foods SA,LATAM,2026-06-15,Conveyor belt,9,491.76,4425.84,completed,completed
SO-004364,77,Ravensgate Textiles GmbH,LATAM,2026-06-15,Strapping machine,20,348.57,6971.40,completed,completed
SO-004042,1,Harbourline Logistics Ltd,EMEA,2026-06-15,Strapping machine,23,424.66,9767.18,pending,at_risk
SO-004027,42,Cedarcrest Analytics GmbH,LATAM,2026-06-15,Tote bin,8,376.51,3012.08,completed,completed
SO-004357,3,Blue Ridge Logistics Ltd,APAC,2026-06-15,Barcode scanner,13,259.23,3369.99,completed,completed
SO-004450,227,Kestrel Foods SA,LATAM,2026-06-15,Safety cage,6,636.95,3821.70,completed,completed
SO-004053,208,Granite Logistics BV,APAC,2026-06-15,Weighing station,9,424.95,3824.55,completed,completed
SO-004333,3,Blue Ridge Logistics Ltd,APAC,2026-06-15,Weighing station,14,519.81,7277.34,pending,at_risk
SO-004232,73,Silverbrook Textiles Ltd,APAC,2026-06-15,Cold-chain container,13,927.46,12056.98,completed,completed
SO-004150,150,Foxglove Ceramics GmbH,North America,2026-06-15,Shrink wrapper,6,388.24,2329.44,completed,completed
SO-004213,42,Cedarcrest Analytics GmbH,LATAM,2026-06-15,Sorting arm,19,359.91,6838.29,completed,completed
SO-003997,84,Ironvale Medical SA,UK & Ireland,2026-06-15,Weighing station,3,416.75,1250.25,completed,completed
SO-003942,498,Thistledown Medical GmbH,APAC,2026-06-15,Dock leveller,23,302.00,6946.00,pending,at_risk
SO-004398,340,Northwind Ceramics Inc,North America,2026-06-15,Label printer,4,829.08,3316.32,completed,completed
SO-004215,4,Ironvale Logistics Ltd,UK & Ireland,2026-06-16,Conveyor belt,21,446.44,9375.24,pending,at_risk
SO-004522,1,Harbourline Logistics Ltd,EMEA,2026-06-16,Pallet rack,3,858.51,2575.53,completed,completed
SO-004473,1,Harbourline Logistics Ltd,EMEA,2026-06-16,Weighing station,4,325.92,1303.68,completed,completed
SO-004479,6,Lakeshore Logistics Ltd,EMEA,2026-06-16,Sorting arm,10,252.49,2524.90,completed,completed
SO-004035,168,Granite Instruments BV,APAC,2026-06-16,Barcode scanner,16,279.48,4471.68,completed,completed
SO-003993,426,Lakeshore Foods Ltd,EMEA,2026-06-16,Barcode scanner,24,557.39,13377.36,completed,completed
SO-004002,1,Harbourline Logistics Ltd,EMEA,2026-06-16,Safety cage,8,289.34,2314.72,completed,completed
SO-004315,97,Ravensgate Medical Inc,LATAM,2026-06-16,Barcode scanner,21,874.81,18371.01,completed,completed
SO-004419,56,Marlowe Analytics Inc,EMEA,2026-06-16,Tote bin,25,168.33,4208.25,completed,completed
SO-004463,178,Thistledown Instruments Ltd,APAC,2026-06-16,Handheld terminal,19,318.50,6051.50,cancelled,at_risk
SO-004277,148,Granite Ceramics GmbH,APAC,2026-06-16,Weighing station,8,644.89,5159.12,completed,completed
SO-004133,20,Northwind Foods SA,North America,2026-06-16,Barcode scanner,14,143.01,2002.14,cancelled,at_risk
SO-004025,110,Foxglove Robotics Ltd,North America,2026-06-16,Weighing station,6,779.16,4674.96,completed,completed
SO-004316,247,Kestrel Analytics Ltd,LATAM,2026-06-16,Cold-chain container,22,533.74,11742.28,cancelled,at_risk
SO-004082,1,Harbourline Logistics Ltd,EMEA,2026-06-16,Dock leveller,13,207.50,2697.50,completed,completed
SO-004467,122,Cedarcrest Freight SA,LATAM,2026-06-16,Conveyor belt,23,833.30,19165.90,cancelled,at_risk
SO-004148,1,Harbourline Logistics Ltd,EMEA,2026-06-16,Cold-chain container,4,341.23,1364.92,completed,completed
SO-004466,17,Ravensgate Logistics SA,LATAM,2026-06-16,Pallet rack,22,659.97,14519.34,completed,completed
SO-003957,206,Lakeshore Logistics BV,EMEA,2026-06-16,Tote bin,13,54.16,704.08,completed,completed
SO-004445,17,Ravensgate Logistics SA,LATAM,2026-06-16,Weighing station,1,545.31,545.31,completed,completed
SO-004049,158,Thistledown Ceramics SA,APAC,2026-06-16,Barcode scanner,5,363.08,1815.40,completed,completed
SO-004308,190,Foxglove Chemicals SA,North America,2026-06-16,Strapping machine,14,197.57,2765.98,completed,completed
SO-004512,8,Granite Logistics GmbH,APAC,2026-06-16,Cold-chain container,18,772.64,13907.52,completed,completed
SO-004093,393,Silverbrook Chemicals GmbH,APAC,2026-06-16,Forklift battery,24,43.53,1044.72,completed,completed
SO-004335,140,Northwind Ceramics Ltd,North America,2026-06-16,Tote bin,16,857.08,13713.28,pending,at_risk
SO-003941,21,Harbourline Foods Inc,EMEA,2026-06-16,Weighing station,22,37.96,835.12,completed,completed
SO-004497,78,Thistledown Textiles GmbH,APAC,2026-06-16,Barcode scanner,3,106.30,318.90,completed,completed
SO-004131,20,Northwind Foods SA,North America,2026-06-17,Conveyor belt,12,304.52,3654.24,completed,completed
SO-004161,17,Ravensgate Logistics SA,LATAM,2026-06-17,Barcode scanner,17,808.30,13741.10,pending,at_risk
SO-004334,351,Sablewood Ceramics Ltd,EMEA,2026-06-17,Dock leveller,15,429.70,6445.50,cancelled,at_risk
SO-004178,354,Alderway Ceramics Ltd,UK & Ireland,2026-06-17,Shrink wrapper,9,940.67,8466.03,cancelled,at_risk
SO-004248,348,Granite Ceramics BV,APAC,2026-06-17,Shrink wrapper,4,767.88,3071.52,completed,completed
SO-004376,272,Pinehurst Textiles Inc,LATAM,2026-06-17,Dock leveller,7,383.32,2683.24,completed,completed
SO-003931,485,Summit Medical BV,North America,2026-06-17,Handheld terminal,12,540.42,6485.04,completed,completed
SO-004488,1,Harbourline Logistics Ltd,EMEA,2026-06-17,Dock leveller,19,295.83,5620.77,pending,at_risk
SO-004440,7,Kestrel Logistics GmbH,LATAM,2026-06-17,Label printer,21,776.10,16298.10,pending,at_risk
SO-004375,78,Thistledown Textiles GmbH,APAC,2026-06-17,Weighing station,6,497.60,2985.60,completed,completed
SO-004468,50,Foxglove Analytics SA,North America,2026-06-17,Label printer,24,840.46,20171.04,cancelled,at_risk
SO-004151,1,Harbourline Logistics Ltd,EMEA,2026-06-17,Weighing station,7,542.02,3794.14,completed,completed
